Date,Close,High,Low,Open,Volume
2024-01-16,9.414999961853027,9.600000381469727,9.050000190734863,9.170000076293945,50800
2024-01-17,9.180000305175781,9.180999755859375,9.0,9.149999618530273,28200
2024-01-18,8.979999542236328,9.260000228881836,8.829999923706055,9.260000228881836,93900
2024-01-19,8.986000061035156,9.039999961853027,8.765000343322754,8.869999885559082,67300
2024-01-22,8.800000190734863,9.270000457763672,8.699999809265137,9.0,77000
2024-01-23,8.829999923706055,9.15999984741211,8.770000457763672,8.949999809265137,67900
2024-01-24,8.75,8.99899959564209,8.710000038146973,8.970000267028809,96700
2024-01-25,7.440000057220459,7.960000038146973,7.295000076293945,7.789999961853027,174500
2024-01-26,7.449999809265137,7.60099983215332,7.40500020980835,7.570000171661377,94700
2024-01-29,7.843999862670898,7.869999885559082,7.485000133514404,7.559999942779541,636200
2024-01-30,7.889999866485596,8.119999885559082,7.835000038146973,8.079999923706055,407600
2024-01-31,7.659999847412109,7.96999979019165,7.619999885559082,7.630000114440918,95600
2024-02-01,7.739999771118164,7.769000053405762,7.53000020980835,7.710000038146973,51500
2024-02-02,7.679999828338623,7.699999809265137,7.400000095367432,7.53000020980835,97900
2024-02-05,7.329999923706055,7.5,7.039000034332275,7.5,112600
2024-02-06,7.53000020980835,7.572000026702881,7.139999866485596,7.139999866485596,74300
2024-02-07,7.659999847412109,7.760000228881836,7.4029998779296875,7.690000057220459,115300
2024-02-08,7.747000217437744,7.840000152587891,7.559000015258789,7.71999979019165,74100
2024-02-09,7.960000038146973,7.96999979019165,7.75,7.769999980926514,63600
2024-02-12,7.670000076293945,7.997000217437744,7.635000228881836,7.869999885559082,185100
2024-02-13,7.46999979019165,7.579999923706055,7.369999885559082,7.449999809265137,112600
2024-02-14,7.690000057220459,7.699999809265137,7.460000038146973,7.519999980926514,240700
2024-02-15,8.300000190734863,8.300000190734863,7.71999979019165,7.730000019073486,118900
2024-02-16,8.260000228881836,8.416000366210938,8.135000228881836,8.369999885559082,405400
2024-02-20,7.940000057220459,8.130000114440918,7.710000038146973,8.0600004196167,217500
2024-02-21,7.985000133514404,8.220000267028809,7.849999904632568,8.010000228881836,86500
2024-02-22,8.119999885559082,8.154999732971191,7.824999809265137,7.960000038146973,188700
2024-02-23,7.840000152587891,8.09000015258789,7.835000038146973,8.09000015258789,64100
2024-02-26,8.220000267028809,8.300000190734863,7.840000152587891,7.840000152587891,86400
2024-02-27,8.229999542236328,8.510000228881836,8.15999984741211,8.430000305175781,66600
2024-02-28,8.359999656677246,8.489999771118164,8.210000038146973,8.279999732971191,55600
2024-02-29,8.34000015258789,8.460000038146973,8.1899995803833,8.4399995803833,60000
2024-03-01,8.359999656677246,8.449999809265137,8.16100025177002,8.25,59800
2024-03-04,7.630000114440918,8.170000076293945,7.559000015258789,8.15999984741211,120200
2024-03-05,7.25,7.429999828338623,7.079999923706055,7.380000114440918,136500
2024-03-06,7.039999961853027,7.239999771118164,6.900000095367432,7.230000019073486,134900
2024-03-07,7.139999866485596,7.195000171661377,6.889999866485596,6.889999866485596,261400
2024-03-08,6.96999979019165,7.329999923706055,6.947999954223633,7.269999980926514,349400
2024-03-11,7.090000152587891,7.310999870300293,6.949999809265137,6.96999979019165,157900
2024-03-12,7.059999942779541,7.160999774932861,6.820000171661377,7.090000152587891,136000
2024-03-13,6.670000076293945,6.989999771118164,6.65500020980835,6.849999904632568,134200
2024-03-14,6.320000171661377,6.739999771118164,6.235000133514404,6.579999923706055,134800
2024-03-15,6.369999885559082,6.429999828338623,6.239999771118164,6.309999942779541,106100
2024-03-18,6.889999866485596,6.9019999504089355,6.497000217437744,6.670000076293945,173700
2024-03-19,6.75,6.809999942779541,6.578000068664551,6.769999980926514,108000
2024-03-20,6.960000038146973,6.980000019073486,6.723999977111816,6.829999923706055,152000
2024-03-21,6.809999942779541,7.070000171661377,6.769000053405762,6.980000019073486,123100
2024-03-22,6.699999809265137,6.71999979019165,6.5,6.510000228881836,95800
2024-03-25,6.789999961853027,6.90500020980835,6.610000133514404,6.610000133514404,128200
2024-03-26,7.050000190734863,7.361999988555908,7.031000137329102,7.090000152587891,184900
2024-03-27,7.150000095367432,7.230000019073486,6.965000152587891,7.230000019073486,115900
2024-03-28,6.940000057220459,7.090000152587891,6.921000003814697,7.03000020980835,94000
2024-04-01,6.909999847412109,6.960000038146973,6.670000076293945,6.960000038146973,168000
2024-04-02,6.480000019073486,6.53000020980835,6.360000133514404,6.400000095367432,214300
2024-04-03,6.570000171661377,6.590000152587891,6.340000152587891,6.360000133514404,81200
2024-04-04,6.699999809265137,7.0,6.559999942779541,6.650000095367432,168900
2024-04-05,6.400000095367432,6.675000190734863,6.190000057220459,6.590000152587891,242200
2024-04-08,6.789999961853027,6.859000205993652,6.539999961853027,6.610000133514404,214800
2024-04-09,6.980000019073486,7.086999893188477,6.755000114440918,6.78000020980835,131900
2024-04-10,6.71999979019165,6.864999771118164,6.650000095367432,6.789999961853027,141800
2024-04-11,6.849999904632568,6.920000076293945,6.570000171661377,6.769999980926514,942800
2024-04-12,6.670000076293945,6.804999828338623,6.668000221252441,6.739999771118164,990000
2024-04-15,6.210000038146973,6.650000095367432,6.210000038146973,6.639999866485596,159500
2024-04-16,5.989999771118164,6.050000190734863,5.854000091552734,5.980000019073486,138500
2024-04-17,5.909999847412109,6.052000045776367,5.84499979019165,6.03000020980835,121700
